date,country,temperature,rainfall
2021-01-01,France,14,229
2021-01-01,Argentina,4,44
2021-01-01,Denmark,-6,290
2021-01-01,China,-3,328
2021-01-01,Australia,26,262
2021-01-02,France,6,123
2021-01-02,Argentina,44,94
2021-01-02,Denmark,39,230
2021-01-02,China,-10,284
2021-01-02,Australia,24,106
2021-01-03,France,36,25
2021-01-03,Argentina,55,43
2021-01-03,Denmark,33,258
2021-01-03,China,37,202
2021-01-03,Australia,29,17
2021-01-04,France,52,98
2021-01-04,Argentina,37,144
2021-01-04,Denmark,42,250
2021-01-04,China,4,132
2021-01-04,Australia,48,239
2021-01-05,France,11,185
2021-01-05,Argentina,50,252
2021-01-05,Denmark,47,28
2021-01-05,China,15,158
2021-01-05,Australia,25,23
2021-01-06,France,17,334
2021-01-06,Argentina,-7,188
2021-01-06,Denmark,13,29
2021-01-06,China,30,226
2021-01-06,Australia,-1,104
2021-01-07,France,-4,282
2021-01-07,Argentina,51,259
2021-01-07,Denmark,5,103
2021-01-07,China,-9,262
2021-01-07,Australia,53,188
2021-01-08,France,15,96
2021-01-08,Argentina,38,69
2021-01-08,Denmark,33,127
2021-01-08,China,35,330
2021-01-08,Australia,45,180
2021-01-09,France,32,33
2021-01-09,Argentina,9,100
2021-01-09,Denmark,4,76
2021-01-09,China,-5,150
2021-01-09,Australia,47,207
2021-01-10,France,52,3
2021-01-10,Argentina,-11,234
2021-01-10,Denmark,24,336
2021-01-10,China,38,323
2021-01-10,Australia,36,199
2021-01-11,France,16,285
2021-01-11,Argentina,18,119
2021-01-11,Denmark,-9,180
2021-01-11,China,33,345
2021-01-11,Australia,34,106
2021-01-12,France,-9,118
2021-01-12,Argentina,49,75
2021-01-12,Denmark,38,185
2021-01-12,China,39,4
2021-01-12,Australia,12,181
2021-01-13,France,19,146
2021-01-13,Argentina,-4,115
2021-01-13,Denmark,21,318
2021-01-13,China,12,309
2021-01-13,Australia,-5,222
2021-01-14,France,10,295
2021-01-14,Argentina,42,17
2021-01-14,Denmark,36,79
2021-01-14,China,31,185
2021-01-14,Australia,42,49
2021-01-15,France,-2,79
2021-01-15,Argentina,44,313
2021-01-15,Denmark,38,179
2021-01-15,China,31,126
2021-01-15,Australia,45,107
2021-01-16,France,13,141
2021-01-16,Argentina,5,129
2021-01-16,Denmark,-5,235
2021-01-16,China,45,138
2021-01-16,Australia,32,56
2021-01-17,France,20,168
2021-01-17,Argentina,8,49
2021-01-17,Denmark,50,252
2021-01-17,China,51,138
2021-01-17,Australia,40,272
2021-01-18,France,43,39
2021-01-18,Argentina,-9,288
2021-01-18,Denmark,53,156
2021-01-18,China,2,272
2021-01-18,Australia,4,106
2021-01-19,France,39,231
2021-01-19,Argentina,3,272
2021-01-19,Denmark,17,291
2021-01-19,China,5,9
2021-01-19,Australia,-8,174
2021-01-20,France,22,72
2021-01-20,Argentina,19,264
2021-01-20,Denmark,10,303
2021-01-20,China,41,296
2021-01-20,Australia,54,182
2021-01-21,France,6,141
2021-01-21,Argentina,17,112
2021-01-21,Denmark,40,16
2021-01-21,China,51,298
2021-01-21,Australia,8,165
2021-01-22,France,29,90
2021-01-22,Argentina,-2,62
2021-01-22,Denmark,-7,224
2021-01-22,China,6,145
2021-01-22,Australia,1,250
2021-01-23,France,20,60
2021-01-23,Argentina,29,71
2021-01-23,Denmark,25,246
2021-01-23,China,25,87
2021-01-23,Australia,12,102
2021-01-24,France,-5,334
2021-01-24,Argentina,9,80
2021-01-24,Denmark,-11,88
2021-01-24,China,7,56
2021-01-24,Australia,8,5
2021-01-25,France,39,68
2021-01-25,Argentina,38,187
2021-01-25,Denmark,4,184
2021-01-25,China,46,88
2021-01-25,Australia,3,96
2021-01-26,France,36,91
2021-01-26,Argentina,43,124
2021-01-26,Denmark,23,343
2021-01-26,China,-4,132
2021-01-26,Australia,4,68
2021-01-27,France,40,295
2021-01-27,Argentina,37,328
2021-01-27,Denmark,23,229
2021-01-27,China,40,71
2021-01-27,Australia,53,23
2021-01-28,France,19,205
2021-01-28,Argentina,42,201
2021-01-28,Denmark,5,329
2021-01-28,China,-11,173
2021-01-28,Australia,17,66
2021-01-29,France,47,283
2021-01-29,Argentina,31,71
2021-01-29,Denmark,25,64
2021-01-29,China,50,343
2021-01-29,Australia,-9,278
2021-01-30,France,-7,148
2021-01-30,Argentina,20,43
2021-01-30,Denmark,53,98
2021-01-30,China,-9,201
2021-01-30,Australia,31,124
2021-01-31,France,28,17
2021-01-31,Argentina,2,178
2021-01-31,Denmark,7,114
2021-01-31,China,15,116
2021-01-31,Australia,0,112
2021-02-01,France,41,139
2021-02-01,Argentina,12,242
2021-02-01,Denmark,12,120
2021-02-01,China,19,56
2021-02-01,Australia,30,206
2021-02-02,France,-4,258
2021-02-02,Argentina,-3,107
2021-02-02,Denmark,26,79
2021-02-02,China,54,167
2021-02-02,Australia,-7,300
2021-02-03,France,6,269
2021-02-03,Argentina,50,275
2021-02-03,Denmark,47,270
2021-02-03,China,38,73
2021-02-03,Australia,26,208
2021-02-04,France,-2,301
2021-02-04,Argentina,31,185
2021-02-04,Denmark,38,100
2021-02-04,China,51,337
2021-02-04,Australia,-7,120
2021-02-05,France,42,76
2021-02-05,Argentina,55,327
2021-02-05,Denmark,31,155
2021-02-05,China,42,348
2021-02-05,Australia,33,333
2021-02-06,France,-9,55
2021-02-06,Argentina,46,211
2021-02-06,Denmark,1,159
2021-02-06,China,11,187
2021-02-06,Australia,5,280
2021-02-07,France,-6,112
2021-02-07,Argentina,48,243
2021-02-07,Denmark,44,125
2021-02-07,China,-1,10
2021-02-07,Australia,48,3
2021-02-08,France,15,307
2021-02-08,Argentina,32,90
2021-02-08,Denmark,26,94
2021-02-08,China,15,155
2021-02-08,Australia,33,245
2021-02-09,France,35,230
2021-02-09,Argentina,54,269
