date,country,temperature,rainfall
2021-01-01,France,52,301
2021-01-01,Argentina,52,318
2021-01-01,Denmark,-3,344
2021-01-01,China,52,315
2021-01-01,Australia,33,158
2021-01-02,France,50,226
2021-01-02,Argentina,28,225
2021-01-02,Denmark,52,319
2021-01-02,China,-10,240
2021-01-02,Australia,55,172
2021-01-03,France,-2,23
2021-01-03,Argentina,1,306
2021-01-03,Denmark,24,315
2021-01-03,China,2,206
2021-01-03,Australia,29,127
2021-01-04,France,16,160
2021-01-04,Argentina,19,266
2021-01-04,Denmark,-8,240
2021-01-04,China,18,188
2021-01-04,Australia,53,331
2021-01-05,France,51,236
2021-01-05,Argentina,13,190
2021-01-05,Denmark,14,258
2021-01-05,China,37,17
2021-01-05,Australia,35,338
2021-01-06,France,-6,281
2021-01-06,Argentina,-10,283
2021-01-06,Denmark,49,24
2021-01-06,China,25,342
2021-01-06,Australia,23,294
2021-01-07,France,43,336
2021-01-07,Argentina,7,240
2021-01-07,Denmark,13,61
2021-01-07,China,15,335
2021-01-07,Australia,-2,28
2021-01-08,France,32,32
2021-01-08,Argentina,53,173
2021-01-08,Denmark,46,107
2021-01-08,China,40,33
2021-01-08,Australia,5,239
2021-01-09,France,20,231
2021-01-09,Argentina,27,55
2021-01-09,Denmark,3,59
2021-01-09,China,38,270
2021-01-09,Australia,53,337
2021-01-10,France,31,218
2021-01-10,Argentina,22,271
2021-01-10,Denmark,52,291
2021-01-10,China,17,138
2021-01-10,Australia,4,101
2021-01-11,France,50,167
2021-01-11,Argentina,38,3
2021-01-11,Denmark,53,131
2021-01-11,China,6,314
2021-01-11,Australia,51,157
2021-01-12,France,27,32
2021-01-12,Argentina,24,337
2021-01-12,Denmark,-5,218
2021-01-12,China,10,228
2021-01-12,Australia,8,170
2021-01-13,France,21,104
2021-01-13,Argentina,15,185
2021-01-13,Denmark,44,342
2021-01-13,China,-6,205
2021-01-13,Australia,34,216
2021-01-14,France,45,24
2021-01-14,Argentina,9,296
2021-01-14,Denmark,-6,216
2021-01-14,China,8,34
2021-01-14,Australia,14,4
2021-01-15,France,2,242
2021-01-15,Argentina,6,134
2021-01-15,Denmark,25,217
2021-01-15,China,29,265
2021-01-15,Australia,-2,27
2021-01-16,France,10,46
2021-01-16,Argentina,42,99
2021-01-16,Denmark,28,34
2021-01-16,China,4,112
2021-01-16,Australia,17,339
2021-01-17,France,50,134
2021-01-17,Argentina,53,323
2021-01-17,Denmark,-8,307
2021-01-17,China,40,178
2021-01-17,Australia,4,77
2021-01-18,France,52,7
2021-01-18,Argentina,5,132
2021-01-18,Denmark,25,273
2021-01-18,China,29,91
2021-01-18,Australia,-4,36
2021-01-19,France,40,62
2021-01-19,Argentina,29,112
2021-01-19,Denmark,51,254
2021-01-19,China,31,68
2021-01-19,Australia,36,121
2021-01-20,France,21,162
2021-01-20,Argentina,-9,329
2021-01-20,Denmark,28,158
2021-01-20,China,32,271
2021-01-20,Australia,14,21
2021-01-21,France,17,267
2021-01-21,Argentina,53,347
2021-01-21,Denmark,32,23
2021-01-21,China,44,122
2021-01-21,Australia,18,22
2021-01-22,France,30,342
2021-01-22,Argentina,4,4
2021-01-22,Denmark,2,169
2021-01-22,China,50,10
2021-01-22,Australia,24,318
2021-01-23,France,47,342
2021-01-23,Argentina,35,254
2021-01-23,Denmark,-6,192
2021-01-23,China,29,23
2021-01-23,Australia,44,32
2021-01-24,France,43,253
2021-01-24,Argentina,32,329
2021-01-24,Denmark,-3,162
2021-01-24,China,46,62
2021-01-24,Australia,5,346
2021-01-25,France,14,69
2021-01-25,Argentina,38,269
2021-01-25,Denmark,5,329
2021-01-25,China,7,24
2021-01-25,Australia,25,217
2021-01-26,France,43,215
2021-01-26,Argentina,16,218
2021-01-26,Denmark,11,5
2021-01-26,China,24,265
2021-01-26,Australia,15,262
2021-01-27,France,48,206
2021-01-27,Argentina,49,52
2021-01-27,Denmark,48,63
2021-01-27,China,30,330
2021-01-27,Australia,3,113
2021-01-28,France,11,24
2021-01-28,Argentina,36,119
2021-01-28,Denmark,1,267
2021-01-28,China,35,107
2021-01-28,Australia,18,239
2021-01-29,France,28,275
2021-01-29,Argentina,-7,2
2021-01-29,Denmark,7,136
2021-01-29,China,46,270
2021-01-29,Australia,53,327
2021-01-30,France,24,273
2021-01-30,Argentina,12,58
2021-01-30,Denmark,54,64
2021-01-30,China,14,292
2021-01-30,Australia,49,105
2021-01-31,France,25,27
2021-01-31,Argentina,32,279
2021-01-31,Denmark,18,166
2021-01-31,China,8,257
2021-01-31,Australia,37,261
2021-02-01,France,18,199
2021-02-01,Argentina,21,95
2021-02-01,Denmark,14,109
2021-02-01,China,39,223
2021-02-01,Australia,15,184
2021-02-02,France,23,186
2021-02-02,Argentina,5,174
2021-02-02,Denmark,2,200
2021-02-02,China,45,302
2021-02-02,Australia,24,157
2021-02-03,France,3,266
2021-02-03,Argentina,19,218
2021-02-03,Denmark,3,231
2021-02-03,China,37,51
2021-02-03,Australia,1,327
2021-02-04,France,7,63
2021-02-04,Argentina,23,247
2021-02-04,Denmark,15,234
2021-02-04,China,37,7
2021-02-04,Australia,12,103
2021-02-05,France,4,301
2021-02-05,Argentina,25,233
2021-02-05,Denmark,-3,60
2021-02-05,China,25,181
2021-02-05,Australia,26,50
2021-02-06,France,33,121
2021-02-06,Argentina,2,143
2021-02-06,Denmark,-10,334
2021-02-06,China,42,18
2021-02-06,Australia,-1,233
2021-02-07,France,46,167
2021-02-07,Argentina,1,138
2021-02-07,Denmark,-7,223
2021-02-07,China,25,267
2021-02-07,Australia,35,11
2021-02-08,France,55,33
2021-02-08,Argentina,46,123
2021-02-08,Denmark,-7,191
2021-02-08,China,23,236
2021-02-08,Australia,16,23
2021-02-09,France,-4,88
2021-02-09,Argentina,15,326
2021-02-09,Denmark,48,23
2021-02-09,China,24,117
2021-02-09,Australia,12,131
2021-02-10,France,16,36
2021-02-10,Argentina,8,242
2021-02-10,Denmark,20,0
2021-02-10,China,12,121
2021-02-10,Australia,-2,337
2021-02-11,France,30,193
2021-02-11,Argentina,51,83
2021-02-11,Denmark,9,178
2021-02-11,China,5,297
2021-02-11,Australia,20,122
2021-02-12,France,2,43
2021-02-12,Argentina,1,252
2021-02-12,Denmark,13,49
2021-02-12,China,45,150
2021-02-12,Australia,-5,303
2021-02-13,France,0,90
2021-02-13,Argentina,27,174
2021-02-13,Denmark,6,237
2021-02-13,China,29,182
2021-02-13,Australia,8,176
